iter	Passed	Remaining
0	141	141483
1	149	74371
2	156	52117
3	164	40920
4	170	33993
5	177	29423
6	184	26239
7	191	23726
8	198	21841
9	204	20284
10	212	19067
11	219	18103
12	227	17261
13	234	16495
14	240	15811
15	248	15287
16	256	14822
17	263	14383
18	270	13974
19	277	13577
20	283	13207
21	289	12887
22	295	12540
23	301	12272
24	308	12028
25	314	11788
26	321	11582
27	327	11384
28	335	11217
29	342	11065
30	349	10914
31	355	10766
32	362	10633
33	369	10508
34	376	10388
35	383	10268
36	390	10154
37	396	10039
38	403	9934
39	409	9838
40	416	9734
41	423	9656
42	430	9572
43	436	9478
44	442	9399
45	449	9315
46	455	9238
47	462	9167
48	468	9101
49	475	9041
50	482	8985
51	489	8920
52	495	8849
53	502	8797
54	508	8740
55	515	8682
56	521	8629
57	527	8572
58	533	8513
59	539	8458
60	546	8409
61	552	8366
62	559	8327
63	567	8296
64	575	8271
65	582	8250
66	591	8241
67	598	8209
68	606	8185
69	614	8166
70	621	8127
71	630	8122
72	638	8109
73	644	8070
74	654	8068
75	661	8047
76	669	8026
77	675	7990
78	683	7968
79	689	7933
80	696	7898
81	702	7868
82	709	7833
83	715	7799
84	721	7764
85	728	7744
86	736	7725
87	742	7692
88	747	7647
89	752	7605
90	759	7583
91	765	7550
92	771	7522
93	778	7498
94	784	7469
95	789	7434
96	794	7393
97	800	7365
98	806	7337
99	812	7308
100	818	7285
101	825	7269
102	832	7246
103	838	7223
104	845	7204
105	850	7173
106	856	7152
107	863	7131
108	869	7109
109	875	7083
110	880	7049
111	884	7012
112	889	6983
113	896	6965
114	901	6934
115	906	6908
116	912	6885
117	917	6855
118	922	6826
119	928	6806
120	934	6788
121	939	6764
122	945	6741
123	951	6719
124	955	6690
125	960	6659
126	964	6633
127	970	6609
128	974	6582
129	979	6553
130	985	6535
131	989	6509
132	994	6483
133	999	6460
134	1006	6451
135	1012	6431
136	1018	6417
137	1025	6405
138	1030	6384
139	1036	6369
140	1042	6353
141	1049	6343
142	1056	6331
143	1062	6313
144	1067	6296
145	1073	6277
146	1078	6258
147	1084	6240
148	1089	6220
149	1094	6204
150	1100	6186
151	1107	6175
152	1113	6164
153	1119	6151
154	1126	6141
155	1132	6125
156	1138	6111
157	1145	6103
158	1150	6086
159	1156	6069
160	1162	6055
161	1167	6040
162	1175	6036
163	1181	6021
164	1187	6007
165	1193	5998
166	1199	5984
167	1205	5971
168	1211	5955
169	1218	5950
170	1225	5942
171	1232	5935
172	1238	5920
173	1246	5915
174	1252	5903
175	1257	5889
176	1263	5877
177	1270	5866
178	1276	5856
179	1282	5844
180	1288	5831
181	1294	5818
182	1300	5804
183	1305	5791
184	1311	5779
185	1317	5767
186	1323	5755
187	1329	5742
188	1335	5730
189	1341	5720
190	1348	5711
191	1354	5700
192	1369	5728
193	1375	5713
194	1380	5698
195	1385	5685
196	1391	5672
197	1397	5661
198	1403	5647
199	1408	5635
200	1415	5628
201	1421	5614
202	1427	5604
203	1433	5594
204	1439	5582
205	1445	5572
206	1452	5562
207	1458	5552
208	1464	5540
209	1470	5533
210	1477	5524
211	1483	5513
212	1490	5506
213	1496	5495
214	1501	5484
215	1508	5473
216	1514	5463
217	1519	5450
218	1525	5438
219	1530	5425
220	1536	5417
221	1542	5407
222	1548	5395
223	1555	5389
224	1562	5381
225	1568	5370
226	1574	5360
227	1579	5349
228	1585	5338
229	1591	5327
230	1596	5316
231	1604	5310
232	1609	5299
233	1615	5289
234	1621	5279
235	1628	5271
236	1634	5261
237	1640	5253
238	1647	5244
239	1652	5233
240	1659	5225
241	1664	5214
242	1670	5203
243	1676	5194
244	1682	5186
245	1688	5176
246	1694	5165
247	1699	5153
248	1703	5139
249	1709	5129
250	1715	5118
251	1720	5105
252	1724	5092
253	1730	5082
254	1736	5073
255	1742	5062
256	1747	5052
257	1752	5039
258	1757	5028
259	1764	5021
260	1769	5011
261	1775	5000
262	1779	4986
263	1785	4976
264	1790	4965
265	1796	4956
266	1801	4945
267	1806	4934
268	1811	4923
269	1817	4913
270	1823	4905
271	1829	4895
272	1833	4883
273	1840	4875
274	1845	4865
275	1851	4856
276	1857	4849
277	1864	4842
278	1870	4832
279	1875	4822
280	1880	4811
281	1886	4802
282	1892	4794
283	1899	4787
284	1905	4779
285	1912	4773
286	1918	4765
287	1924	4758
288	1931	4753
289	1939	4748
290	1946	4741
291	1953	4735
292	1959	4728
293	1967	4724
294	1974	4718
295	1982	4714
296	1989	4708
297	1996	4703
298	2003	4697
299	2008	4686
300	2014	4677
301	2019	4667
302	2024	4658
303	2029	4646
304	2035	4638
305	2041	4630
306	2047	4622
307	2054	4615
308	2060	4606
309	2065	4597
310	2071	4588
311	2076	4577
312	2081	4568
313	2086	4558
314	2091	4548
315	2096	4538
316	2101	4528
317	2107	4519
318	2112	4510
319	2118	4500
320	2123	4491
321	2128	4481
322	2133	4472
323	2138	4462
324	2145	4455
325	2150	4446
326	2156	4437
