회차,상호명,구분,소재지
1090,경성식품,수동,서울 동대문구 망우로21길 52 
1090,주아킹 목동점,자동,서울 양천구 목동로 213 1층
1090,복권명당(서부점),자동,대구 달서구 월배로 452 
1090,천하명당복권,자동,대구 북구 칠곡중앙대로 545 
1090,평화(북구사수점),자동,대구 북구 한강로 92 1층 101호
1090,버스표판매소,자동,경기 고양시 덕양구 화신로 76 가라뫼한전앞 버스정류장
1090,인생로또 645,자동,경기 남양주시 다산순환로 356 다산푸리마타워 1층 102호
1090,노다지복권방,자동,경기 부천시 양지로 205 1층 118호
1090,왕대박유통,자동,충북 청주시 흥덕구 서현동로 25 화인프라자 1층
1090,채널큐,수동,경남 창원시 마산합포구 산호남로 11-1 
1090,행운&빈센트,자동,제주 서귀포시 동문로 64 
1091,광산마트,자동,서울 강북구 한천로 1078-1 
1091,행운복권방,자동,서울 서대문구 신촌로 235-1 
1091,쌍둥이네 로또판매점,자동,서울 양천구 화곡로 41 1층
1091,진우복권,자동,부산 연제구 월드컵대로 119 204호(연산동)
1091,일등복권방,자동,인천 계양구 임학동로 12 1층
1091,가야홀인원복권방,자동,"경기 의정부시 체육로 306-14,(녹양동) "
1091,로또하복대두진점,자동,충북 청주시 흥덕구 증안로 33 두진백로상가1층102호
1091,문경로또,자동,경북 문경시 문희로 19-1 
1091,행운의집제1호점,자동,경북 안동시 영가로 24 
1092,대박슈퍼,수동,서울 강동구 올림픽로 800 1층 106호
1092,대박슈퍼,수동,서울 강동구 올림픽로 800 1층 106호
1092,연초2호 쇼케이스7호,자동,서울 서초구 신반포로 194 강남고속버스터미널 쇼케이스7호
1092,대박복권&크로플박사,자동,서울 영등포구 도신로 119 1층(도림동)
1092,돈벼락맞는곳,자동,부산 기장군 읍내로 109 
1092,행운복권,수동,인천 미추홀구 인하로 354 
1092,운수대통,자동,인천 미추홀구 경인로34번길 35 1층 (숭의동)
1092,프렌드24시,자동,광주 광산구 첨단중앙로 164 빌리오네2  제1층 106호
1092,버스표판매소,자동,경기 고양시 덕양구 화신로 76 가라뫼한전앞 버스정류장
